index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test
86,0.8905,1.493,0.2112,8.8,100,85.8,69.6,10,13,100,91,17,0.4288
87,0.6783,1.483,0.1284,33,98.8,84.4,69,10,36,98,69,3,0.419
88,0.8884,1.473,0.4802,9.2,98.4,73.8,72.2,10,9,97,55,18,0.4264
89,0.4333,1.4874,0.0215,51,98.4,76,71.2,10,42,99,100,1,0.4242
90,0.7835,1.476,0.1147,16,97.6,69,64.4,10,22,98,57,15,0.423
91,0.9025,1.4696,0.0586,9.8,96.8,69.2,58.6,10,8,98,95,4,0.418
92,0.8392,1.4901,0.0149,15.4,98.8,90,81.4,10,15,98,96,33,0.4175
93,0.8536,1.4842,0.1953,12.8,97,79,72,10,9,97,79,55,0.4189
94,0.8826,1.4762,0.3361,11.2,99,95,77.6,10,8,94,97,18,0.421
95,0.8929,1.4631,0.3523,9.6,96.4,89.4,69.8,10,10,97,98,32,0.4204
96,0.8159,1.4885,0.1582,14.6,98,84.2,70.6,10,16,98,95,7,0.4367
97,0.838,1.5,0.2766,13.4,99.8,80.8,74.6,10,11,100,78,1,0.4264
98,0.852,1.494,0.1714,12.6,97.8,75.2,67.8,10,12,97,94,8,0.4178
99,0.4242,1.502,0.1809,55.2,99,91.2,80,10,45,99,91,56,0.4466
