index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
176,0.7054,0.1563,0.1336,28.89,82.22,93.33,82.22,6.0,33.33,62.22,100.0,2.22,0.2166
177,0.7716,0.1563,0.0874,24.44,82.22,82.22,75.56,6.0,33.33,77.78,95.56,4.44,0.223
178,0.7089,0.1417,0.1217,24.39,75.61,90.24,75.61,6.0,37.5,77.5,87.5,2.5,0.4245
179,0.547,0.1563,0.1086,40.48,80.95,100.0,80.95,6.0,21.43,88.1,100.0,0.0,0.2199
180,0.6236,0.1563,0.0713,34.089999999999996,65.91,95.45,65.91,6.0,23.26,65.12,97.67,0.0,0.4572
181,0.6469,0.1575,0.1799,32.56,74.42,88.37,74.42,6.0,45.24,61.9,95.24000000000001,4.760000000000001,0.4372
182,0.6334,0.1563,0.2193,38.64,88.64,72.72999999999999,79.55,6.0,18.18,75.0,100.0,0.0,0.2152
183,0.3123,0.142,0.0686,67.5,70.0,97.5,70.0,6.0,51.28,71.78999999999999,97.44,2.56,0.4074
184,0.6631,0.1563,0.1879,29.549999999999997,65.91,88.64,65.91,6.0,38.64,72.72999999999999,88.64,11.360000000000001,0.207
185,0.7368,0.1418,0.2084,24.39,95.12,92.67999999999999,87.8,6.0,21.95,100.0,85.37,29.270000000000003,0.2077
186,0.7317,0.1418,0.0034,26.83,82.93,90.24,78.05,6.0,26.83,75.61,95.12,4.88,0.2027
187,0.6311,0.1406,0.1872,30.769999999999996,84.61999999999999,100.0,84.61999999999999,6.0,34.21,81.58,100.0,5.26,0.4214
188,0.6784,0.1407,0.0153,30.0,82.5,87.5,77.5,6.0,30.0,70.0,97.5,0.0,0.1951
189,0.8193,0.1406,0.0953,17.95,100.0,100.0,100.0,6.0,23.080000000000002,94.87,100.0,0.0,0.2182
190,0.6235,0.1563,0.3535,36.36,65.91,90.91,65.91,6.0,25.580000000000002,74.42,93.02,2.33,0.4303
191,0.5884,0.1719,0.0226,36.96,78.25999999999999,100.0,78.25999999999999,6.0,55.559999999999995,66.67,93.33,4.44,0.469
192,0.7659,0.1563,0.1742,21.95,73.17,90.24,73.17,6.0,17.07,82.93,95.12,0.0,0.2355
193,0.676,0.1563,0.1423,30.95,76.19,95.24000000000001,76.19,6.0,23.810000000000002,76.19,95.24000000000001,11.899999999999999,0.2369
194,0.6368,0.1563,0.0942,34.78,86.96000000000001,91.3,84.78,6.0,43.480000000000004,86.96000000000001,97.83,2.17,0.2122
195,0.8315,0.112,0.0233,14.29,78.57,100.0,78.57,6.0,11.110000000000001,92.58999999999999,100.0,3.6999999999999997,0.385
