index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test
70,0.8971,1.454,0.1549,8.4,97.4,89.4,72.2,12,7,97,91,16,0.4939
71,0.9366,1.48,0.2108,7.6,97.4,83.8,73.8,12,10,98,87,55,0.4787
72,0.9135,1.417,0.3629,8,98.6,76.6,69.4,12,9,100,84,6,0.4885
73,0.8921,1.4381,0.0882,9.4,98,85.6,76.6,12,9,98,74,55,0.4816
74,0.8426,1.454,0.1849,13,96,79.8,64.8,12,11,100,77,46,0.49
75,0.3243,1.4471,0.0581,52.4,100,81,82.4,12,48,100,93,28,0.4888
76,0.915,1.461,0.0141,7.6,98,79.8,70.2,12,12,99,98,20,0.481
77,0.916,1.447,0.1756,9.6,97.6,73.6,64.4,12,8,99,89,8,0.4754
78,0.7123,1.446,0.3597,26.6,99.2,81.6,71.6,12,23,98,93,62,0.4933
79,0.6485,1.481,0.0645,27.8,99.4,77.8,76.6,12,21,100,81,17,0.4769
80,0.6453,1.428,0.1879,31.2,97,67.4,71.6,12,33,99,95,14,0.4863
81,0.6012,1.4661,0.1717,34.6,97,89,75.8,12,45,97,86,5,0.4889
82,0.7943,1.464,0.0196,15.2,100,92,73.6,12,23,100,94,18,0.488
83,0.8831,1.456,0.0571,10.2,99.8,76.8,75.4,12,10,100,94,19,0.4864
84,0.9145,1.4361,0.3392,8.6,99.8,79.8,73.6,12,10,100,100,7,0.4899
85,0.5683,1.479,0.0373,36.2,99,85.2,78.6,12,39,99,94,1,0.489
86,0.822,1.4411,0.1517,15.2,99.8,80.8,65.4,12,14,100,100,0,0.495
87,0.5643,1.47,0.1953,38.8,98.6,85.8,80.6,12,39,98,93,28,0.4835
88,0.8729,1.475,0.3653,11.2,100,80.4,74.6,12,12,100,94,3,0.486
89,0.4129,1.476,0.0917,46.2,97.8,89.6,72.8,12,44,97,84,7,0.4908
90,0.8089,1.443,0.086,14.6,97,85.6,68.2,12,25,96,74,5,0.4803
91,0.9132,1.474,0.0424,10,98.2,69,64,12,10,98,86,6,0.479
92,0.88,1.464,0.0044,10.8,95.8,81.6,72.2,12,16,100,96,14,0.4826
93,0.8953,1.451,0.056,9.6,98.2,68.6,61.8,12,14,97,98,1,0.496
94,0.7713,1.4712,0.3005,22.4,98.6,94.4,85.2,12,24,98,98,41,0.491
95,0.9313,1.447,0.1898,7.2,96.8,88.8,83.2,12,8,100,96,54,0.497
96,0.8906,1.461,0.1821,9.6,98.8,92.8,76.6,12,12,99,99,9,0.488
97,0.7815,1.457,0.0921,16.4,100,73,72.6,12,21,100,82,48,0.482
98,0.8993,1.465,0.3984,8.2,97.8,76.6,72.2,12,9,99,99,0,0.486
99,0.3703,1.457,0.0797,55.6,99.4,85.8,83.2,12,54,99,92,24,0.485
