, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
77,0.8148,1.393,0.1777,14.8,92.2,86,79.6,15,16,94,93,40,0.8605
78,0.5489,1.423,0.1194,34.4,98,93.8,82.4,16,42,100,97,21,0.9074
79,0.3535,1.4117,0.0464,45.2,99.4,84,79.8,16,45,99,86,22,0.8606
80,0.3981,1.45,0.2357,57,92.6,83.8,65.4,16,63,88,96,12,0.8762
81,0.6177,1.4074,0.125,28,96.8,89.6,73.6,16,36,99,79,3,0.868
82,0.8721,1.4074,0.019,10.4,99.8,83.6,82,15,15,98,85,24,0.8534
83,0.7469,1.4075,0.1427,22,94,94,77.6,16,17,96,97,39,0.9387
84,0.7896,1.4079,0.1041,21,98,82.6,72.8,15,23,99,80,5,0.8761
85,0.8686,1.409,0.2054,12.8,97.8,82,76,16,14,98,97,26,0.8615
86,0.7426,1.4266,0.1811,20,99.8,95.2,84.8,16,17,100,100,18,0.8492
87,0.5434,1.4487,0.0219,35.6,99,94.2,74.8,16,35,99,98,30,0.8992
88,0.6176,1.4634,0.1731,32.8,94.8,90,74.2,16,30,95,92,28,0.8917
89,0.7064,1.448,0.3583,27.6,98.6,87.2,71.6,16,27,97,94,24,0.8761
90,0.8144,1.4023,0.1086,15.6,99.6,80,74,16,17,100,88,19,0.8694
91,0.8182,1.4411,0.1427,15.8,95.6,79.4,76.6,16,15,99,82,30,0.8535
92,0.9075,1.4254,0.2143,9.8,92.4,92,74.2,16,11,100,69,3,0.8605
93,0.7401,1.4387,0.0553,22.6,95.2,93.2,71.8,16,20,97,95,43,0.8616
94,0.8429,1.4267,0.1099,15.8,98.6,98,83,16,14,98,99,37,0.8604
95,0.7878,1.4264,0.0322,19.6,94.4,95.8,74.4,15,15,97,94,29,0.8917
96,0.8657,1.4319,0.4273,12.6,94.2,92.2,68.8,16,14,96,99,20,0.876
97,0.8397,1.4697,0.2348,17.4,94,94,74.6,16,20,88,98,32,0.8691
98,0.7907,1.4885,0.147,20.4,95,90.4,74.8,16,20,96,93,25,0.8918
99,0.0908,1.5014,0.0154,80.2,98.4,94.2,91.8,16,79,98,94,1,0.8761
