index, total_norm_before, time_r, total_norm_after,        sen_train_before, spe_train_before, sen_train_after, spe_train_after, time_train,        sen_test_before, spe_test_before, sen_test_after, spe_test_after, time_test 
176,0.6143,0.157,0.3084,35.56,64.44,95.56,64.44,9.0,28.89,64.44,100.0,0.0,0.413
177,0.6259,0.156,0.0043,35.56,68.89,100.0,68.89,9.0,35.56,64.44,97.78,2.22,0.4131
178,0.4447,0.149,0.0647,48.78,65.85,100.0,65.85,9.0,57.49999999999999,72.5,100.0,0.0,0.782
179,0.474,0.151,0.0082,47.620000000000005,73.81,95.24000000000001,73.81,9.0,38.1,64.29,100.0,0.0,0.3899
180,0.4514,0.154,0.2423,47.73,59.089999999999996,97.72999999999999,59.089999999999996,9.0,46.51,53.49,100.0,2.33,0.846
181,0.6004,0.154,0.0612,39.53,74.42,88.37,74.42,9.0,47.620000000000005,61.9,100.0,0.0,0.8281
182,0.653,0.155,0.2947,29.549999999999997,59.089999999999996,88.64,59.089999999999996,9.0,38.64,75.0,100.0,0.0,0.403
183,0.3288,0.143,0.1071,62.5,62.5,100.0,62.5,9.0,48.72,61.53999999999999,100.0,0.0,0.7831
184,0.5798,0.155,0.0672,40.910000000000004,72.72999999999999,100.0,72.72999999999999,9.0,43.18,65.91,95.45,0.0,0.4038
185,0.8748,0.148,0.2403,12.2,58.540000000000006,100.0,58.540000000000006,9.0,14.63,100.0,100.0,0.0,0.3955
186,0.5482,0.145,0.2393,41.46,60.980000000000004,95.12,60.980000000000004,9.0,31.71,60.980000000000004,97.56,0.0,0.387
187,0.5822,0.143,0.1991,41.03,53.849999999999994,100.0,53.849999999999994,9.0,31.580000000000002,68.42,100.0,0.0,0.7637
188,0.5283,0.144,0.0409,42.5,70.0,100.0,70.0,9.0,37.5,52.5,100.0,0.0,0.382
189,0.7552,0.14,0.2259,25.64,97.44,94.87,92.31,9.0,30.769999999999996,53.849999999999994,100.0,2.56,0.3831
190,0.522,0.156,0.0136,38.64,68.17999999999999,95.45,68.17999999999999,9.0,32.56,58.14,93.02,0.0,0.844
191,0.4179,0.16,0.1515,50.0,54.35,100.0,54.35,9.0,64.44,62.22,100.0,0.0,0.8791
192,0.7757,0.147,0.1134,21.95,95.12,100.0,92.67999999999999,9.0,31.71,100.0,97.56,2.44,0.3901
193,0.8117,0.149,0.3325,19.05,69.05,92.86,69.05,9.0,30.95,71.43,97.61999999999999,2.3800000000000003,0.3972
194,0.8362,0.162,0.3243,15.22,91.3,95.65,91.3,9.0,28.26,67.39,100.0,2.17,0.4221
195,0.7253,0.111,0.1938,25.0,64.29,100.0,64.29,9.0,18.52,66.67,100.0,0.0,0.7151
